,,,,,,,,,,
Trade Date,Symbol,Warehouse,Production Year,Opening Price,Closing Price,High,Low,Change,Persetntage Change,Volume (Ton)
01/02/2012,WYKQ2,BG,2004,"1,175.00",0.00,"1,175.00","1,175.00",0,0.0 ,28.29
01/03/2012,WYKQ2,BG,2004,"1,175.00",0.00,"1,175.00","1,175.00",0,0.0 ,10.8
01/04/2012,WYKQ2,BG,2004,"1,180.00",0.00,"1,180.00","1,180.00",0,0.0 ,6.61
01/06/2012,WYKQ2,BG,2004,"1,175.00",0.00,"1,175.00","1,175.00",0,0.0 ,8.99
01/12/2012,WYKQ2,BG,2004,"1,293.00",0.00,"1,293.00","1,280.00",0,0.0 ,18
01/16/2012,WYKQ2,BG,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,18
01/17/2012,WYKQ2,BG,2004,"1,240.00",0.00,"1,240.00","1,235.00",0,0.0 ,18
01/18/2012,WYKQ2,BG,2004,"1,254.00",0.00,"1,254.00","1,254.00",0,0.0 ,8.99
01/24/2012,WYKQ2,BG,2004,"1,235.00",0.00,"1,235.00","1,235.00",0,0.0 ,8.99
01/31/2012,WYKQ2,BG,2004,"1,200.00",0.00,"1,200.00","1,200.00",0,0.0 ,8.99
02/08/2012,WYKQ2,BG,2004,"1,175.00",0.00,"1,175.00","1,175.00",0,0.0 ,14.4
02/09/2012,WYKQ2,BG,2004,"1,185.00",0.00,"1,185.00","1,185.00",0,0.0 ,8.99
02/14/2012,WYKQ2,BG,2004,"1,175.00",0.00,"1,175.00","1,175.00",0,0.0 ,8.99
02/16/2012,WYKQ2,BG,2004,"1,130.00",0.00,"1,130.00","1,130.00",0,0.0 ,3.6
02/21/2012,WYKQ2,BG,2004,"1,120.00",0.00,"1,120.00","1,120.00",0,0.0 ,18
02/22/2012,WYKQ2,BG,2004,"1,140.00",0.00,"1,140.00","1,140.00",0,0.0 ,7.21
02/23/2012,WYKQ2,BG,2004,"1,120.00",0.00,"1,120.00","1,120.00",0,0.0 ,39.59
02/27/2012,WYKQ2,BG,2004,"1,110.00",0.00,"1,110.00","1,110.00",0,0.0 ,36.98
02/28/2012,WYKQ2,BG,2004,"1,110.00",0.00,"1,110.00","1,110.00",0,0.0 ,41.4
03/01/2012,WYKQ2,BG,2004,"1,100.00",0.00,"1,100.00","1,100.00",0,0.0 ,8.99
03/05/2012,WYKQ2,BG,2004,"1,045.00",0.00,"1,045.00","1,045.00",0,0.0 ,7.21
03/06/2012,WYKQ2,BG,2004,"1,000.00",0.00,"1,000.00","1,000.00",0,0.0 ,18
03/12/2012,WYKQ2,BG,2004,820.00,0.00,820.00,820.00,0,0.0 ,21.61
03/14/2012,WYKQ2,BG,2004,902.00,0.00,902.00,902.00,0,0.0 ,3.6
03/16/2012,WYKQ2,BG,2004,993.00,0.00,993.00,993.00,0,0.0 ,8.99
03/19/2012,WYKQ2,BG,2004,"1,043.00",0.00,"1,043.00","1,043.00",0,0.0 ,5.41
03/20/2012,WYKQ2,BG,2004,"1,096.00",0.00,"1,096.00","1,096.00",0,0.0 ,45
03/21/2012,WYKQ2,BG,2004,"1,096.00",0.00,"1,096.00","1,096.00",0,0.0 ,8.99
03/22/2012,WYKQ2,BG,2004,"1,100.00",0.00,"1,100.00","1,100.00",0,0.0 ,21.61
03/27/2012,WYKQ2,BG,2004,"1,100.00",0.00,"1,120.00","1,100.00",0,0.0 ,27
04/03/2012,WYKQ2,BG,2004,"1,070.00",0.00,"1,070.00","1,070.00",0,0.0 ,8.99
04/09/2012,WYKQ2,BG,2004,"1,030.00",0.00,"1,030.00","1,030.00",0,0.0 ,8.99
04/11/2012,WYKQ2,BG,2004,"1,010.00",0.00,"1,010.00","1,010.00",0,0.0 ,8.99
04/12/2012,WYKQ2,BG,2004,"1,050.00",0.00,"1,050.00","1,050.00",0,0.0 ,16.2
04/20/2012,WYKQ2,BG,2004,"1,030.00",0.00,"1,030.00","1,030.00",0,0.0 ,12.6
04/26/2012,WYKQ2,BG,2004,"1,000.00",0.00,"1,000.00","1,000.00",0,0.0 ,10.8
04/27/2012,WYKQ2,BG,2004,990.00,0.00,990.00,990.00,0,0.0 ,10.8
05/11/2012,WYKQ2,BG,2004,910.00,0.00,910.00,910.00,0,0.0 ,13.69
05/15/2012,WYKQ2,BG,2004,900.00,0.00,900.00,900.00,0,0.0 ,7.21
05/16/2012,WYKQ2,BG,2004,930.00,0.00,930.00,930.00,0,0.0 ,14.4
05/17/2012,WYKQ2,BG,2004,890.00,0.00,890.00,890.00,0,0.0 ,3.6
06/26/2012,WYKQ2,BG,2004,900.00,0.00,900.00,900.00,0,0.0 ,10.8
07/02/2012,WYKQ2,BG,2004,890.00,0.00,890.00,890.00,0,0.0 ,11.34
07/12/2012,WYKQ2,BG,2004,"1,000.00",0.00,"1,000.00","1,000.00",0,0.0 ,8.99
12/12/2012,WYKQ2,BG,2005,880.00,0.00,880.00,880.00,0,0.0 ,8.99
12/14/2012,WYKQ2,BG,2005,875.00,0.00,880.00,875.00,0,0.0 ,18
12/17/2012,WYKQ2,BG,2005,875.00,0.00,875.00,875.00,0,0.0 ,8.99
12/18/2012,WYKQ2,BG,2005,840.00,0.00,840.00,840.00,0,0.0 ,8.99
12/20/2012,WYKQ2,BG,2005,780.00,0.00,800.00,780.00,0,0.0 ,19.81
